Codigo_Item,Grupo_Item,Nome_Item,Desc_Item,Categoria_Item,Espacos_Itens,Dt_Item,Fonte_Item
1,Acessórios,Kit de Perícia,"Um conjunto de ferramentas necessárias para algumas perícias ou usos de perícias. Sem o kit, você sofre –5 no teste. Existe um kit de perícia para cada perícia que exige este item.",0,1,,OPRPG
2,Acessórios,Utensílio,"Um item comum que tenha uma utilidade específica, como um canivete, uma lupa, um smartphone ou um notebook. Um utensílio fornece +2 em uma perícia (exceto Luta e Pontaria). Por exemplo, um smartphone pode ser usado para acessar a internet e fornecer bônus em Ciências, enquanto um notebook pode ser preparado para invadir sistemas e fornecer bônus em Tecnologia. Você pode inventar itens menos realistas, como um “detector de mentiras portátil” que fornece +2 em Intuição, mas o mestre tem a palavra final se o utensílio é apropriado ou não. Utensílios sempre ocupam 1 espaço e precisam ser empunhados para que o bônus seja aplicado.",I,1,,OPRPG
3,Acessórios,Vestimenta,"Uma peça de vestuário que fornece +2 em uma perícia (exceto Luta ou Pontaria). Por exemplo, um par de botas militares pode fornecer +2 em Atletismo, um terno ou vestido elegante pode fornecer +2 em Diplomacia e um manto com glifos pode fornecer +2 em Ocultismo. Assim como utensílios, o benefício de cada vestimenta deve ser aprovado pelo mestre. Você pode receber os bônus de no máximo duas vestimentas ao mesmo tempo. Vestir ou despir uma vestimenta é uma ação completa.",I,1,,OPRPG
4,Acessórios,Amuleto Sagrado,"Um utensílio especial na forma de shimenawa, rosário, fio de contas, contas de oração ou qualquer outro objeto que reforce sua fé e ajude a blindá-lo das desgraças do dia a dia. Ocupa o espaço de um item vestido e fornece +2 em Religião e Vontade.",0,1,,SaH
5,Acessórios,Celular,"Um utensílio especial (embora comum hoje em dia). Serve para tirar fotos, gravar áudios e vídeos, acessar a internet e até, veja só, ligar para outras pessoas. Se tiver acesso a internet, fornece +2 em testes de perícia que envolvam adquirir informações. Por fim, possui uma lanterna fraca, mas útil na falta de um equipamento melhor, que ilumina em um cone de 4,5m.",0,1,,SaH
6,Acessórios,Chave de Fenda Universal,"Esta ferramenta pode ser considerada um milagre da engenharia humana. Com ela em mãos, você é capaz de resolver quase qualquer problema. Fornece +2 em testes de perícia para criar ou reparar objetos, desde panelas de cozinha até motores de avião. Também fornece o bônus se usada como item de apoio em situações especiais, como lidar com cabos para hackear um servidor",0,1,,SaH
7,Acessórios,Chaves,"Molhos de chaves (de casa, veículo, cadeados etc.) são itens comuns. Usar o barulho de um molho de chaves para distrair alguém (jogando as chaves, por exemplo) fornece +2 em testes de Furtividade feitos na mesma rodada.",0,1,,SaH
8,Acessórios,Documentos Falsos,"Um conjunto de documentos (identidade funcional, carteira de habilitação, cartões de crédito etc.) em nome de uma identidade falsa. Você recebe +2 em testes de Diplomacia, Enganação e Intimidação para se passar pela pessoa representada pelos documentos.",I,1,,SaH
9,Acessórios,Manual Operacional,"Um livro com lições práticas sobre um assunto. Existe um manual operacional para cada perícia; gastar uma ação de interlúdio lendo um manual permite que você use essa perícia como se fosse treinado nela até o próximo interlúdio. Um manual operacional aprimorado (veja OPRPG, p. 64) também fornece +5 na perícia.Você só pode receber o benefício de um manual operacional por vez.",I,1,,SaH
10,Acessórios,Notebook,"Um utensílio especial. Como um celular, se tiver acesso a internet fornece +2 em testes de perícia que envolvem adquirir informações. Além disso, por sua tela maior, pode ser usado para entretenimento de forma mais agradável; ao relaxar em cenas de interlúdio, você recupera 1 ponto adicional de Sanidade. A luz do monitor ilumina em um cone de 4,5m. Tablets estão inclusos como uma variação de notebook.",0,2,,SaH
11,Acessórios,Câmera Filmadora,"Uma filmadora antiga que pode capturar aquilo que os nossos olhos, muitas vezes, acabam deixando passar. Este utensílio fornece +2 em testes de Investigação e Percepção, além de poder ser usado como lanterna (ilumina um cone de 9m) ou na função de visão noturna de fósforo verde (funciona como Visão no Escuro, OPRPG, p. 180).",0,1,,AS
12,Acessórios,Skate,"Uma tábua de madeira fina e resistente acoplada com rodas. Enquanto estiver usando o skate, você pode fazer a ação Corrida usando Acrobacias no lugar de Atletismo. Você não pode usar um skate em terreno difícil.",0,2,,Homebrew
13,Explosivos,Granada de Atordoamento,"Para usar uma granada, você precisa empunhá-la e então gastar uma ação padrão para arremessá-la em um ponto à sua escolha em alcance médio. A granada afeta um raio de 6m a partir do ponto de impacto. O efeito que ela causa varia conforme o tipo de granada.

Também chamadas de _flash_-bang, por criarem um estouro barulhento e luminoso. Seres na área ficam atordoados por 1 rodada (Fortitude DT Agi reduz para ofuscado e surdo por uma rodada).",0,1,"Fortitude, AGI",OPRPG
14,Explosivos,Granada de Fragmentação,"Para usar uma granada, você precisa empunhá-la e então gastar uma ação padrão para arremessá-la em um ponto à sua escolha em alcance médio. A granada afeta um raio de 6m a partir do ponto de impacto. O efeito que ela causa varia conforme o tipo de granada.

Espalha fragmentos perfurantes. Seres na área sofrem 8d6 pontos de dano de perfuração (Reflexos DT Agi reduz à metade).",I,1,"Reflexos, AGI",OPRPG
15,Explosivos,Granada de Fumaça,"Para usar uma granada, você precisa empunhá-la e então gastar uma ação padrão para arremessá-la em um ponto à sua escolha em alcance médio. A granada afeta um raio de 6m a partir do ponto de impacto. O efeito que ela causa varia conforme o tipo de granada.

Produz uma fumaça espessa e escura. Seres na área ficam cegos e sob camuflagem total. A fumaça dura 2 rodadas.",0,1,,OPRPG
16,Explosivos,Granada Incendiária,Espalha labaredas incandescentes. Seres na área sofrem 6d6 pontos de dano de fogo e ficam em chamas (Reflexos DT Agi reduz o dano à metade e evita a condição em chamas).,I,1,"Reflexos, AGI",OPRPG
17,Explosivos,Mina Antipessoal,"Esta mina é ativada por controle remoto. Se você estiver a até alcance longo dela, pode gastar uma ação padrão para detoná-la. Ao explodir, a mina dispara centenas de bolas de aço em um cone de 6m, causando 12d6 pontos de dano de perfuração em todos os seres na área (Reflexos DT Int reduz à metade). Você define a direção do cone quando posiciona a mina no chão. Instalar a mina exige uma ação completa e um teste de Tática contra DT 15. Caso falhe, você gasta a mina, mas não ela não funciona. Encontrar uma mina instalada exige um teste de Percepção (DT igual ao resultado do seu teste para instalá-la).",I,1,"Reflexos, INT",OPRPG
18,Explosivos,Dinamite,"Dinamite é um artefato explosivo à base de nitroglicerina, ajeitado em um bastão com 20 cm de comprimento. Com a mesma ação padrão é possível acender seu pavio com uma das mãos e arremessá-la com a outra em um ponto à sua escolha em alcance médio. A dinamite afeta um raio de 6m a partir do ponto de impacto; seres e objetos soltos na área sofrem 4d6 pontos de dano de impacto e 4d6 pontos de dano de fogo e ficam em chamas (Reflexos DT Agi reduz à metade e evita condição em chamas).",I,1,"Reflexos, AGI",SaH
19,Explosivos,Explosivo Plástico,"Essa massa adesiva do tamanho de uma esponja é acompanhada de pinos de ignição e um detonador remoto. Para utilizá-la, você precisa gastar duas rodadas para preparar os pinos e grudar o explosivo em uma superf ície. Por
 im, você pode detonar o explosivo acionando um detonador (uma ação livre que pode ser feita de alcance longo) ou causando pelo menos 1 ponto de dano de fogo ou eletricidade nele. Quando detonado, o explosivo plástico causa 16d6 pontos de dano de impacto em todos os seres e objetos em um raio de 3m (Reflexos DT Int reduz à metade). Se usado por um especialista em explosivos (alguém treinado em Crime ou uma Profissão adequada, a critério do mestre), causa o dobro de dano em objetos e estruturas e ignora sua RD.",I,1,"Reflexos, INT",SaH
20,Explosivos,Galão Vermelho,"Galões vermelhos, ou marcados com um símbolo de chama, carregam substâncias inflamáveis. Apesar de serem mais frequentes em ambientes industriais, também são encontrados em ambientes inusitados quando menos se espera. Ao sofrer dano de fogo ou balístico, um galão vermelho explode, atingindo uma esfera de 6m de raio. Seres na área sofrem 12d6 pontos de dano de fogo e ficam em chamas (Reflexos DT 25 reduz à metade e evita a condição). A área afetada pelo raio da explosão fica em chamas (1d6 pontos de dano de fogo por rodada em seres e objetos) até ser apagada ou a cena acabar. Veja mais sobre as consequências de um galão vermelho em Fogo e Fumaça (OPRPG, p. 292).",0,2,"Reflexos, 25",SaH
21,Explosivos,Granada de Gás Sonífero,"Esta granada libera uma fumaça branca que preenche um raio de 6m a partir do ponto de impacto. Seres que comecem seus turnos na área ficam inconscientes e caídos ou, se estiverem envolvidos em atividade física intensa (como combate), ficam exaustos por 1 rodada, depois fatigados (em ambos os casos, Fortitude DT Agi reduz para fatigado por 1d4 rodadas). O gás permanece na área por 2 rodadas.",I,1,"Fortitude, AGI",SaH
22,Explosivos,Granada de PEM.,"Esta granada emite um poderoso pulso eletromagnético que desativa todos os equipamentos elétricos em um raio de 18m até o fim da cena. Criaturas de Energia na área sofrem 6d6 pontos de dano de impacto e ficam atordoadas por 1 rodada (apenas uma vez por cena, Fortitude DT Agi reduz à metade e evita a condição).",I,1,"Fortitude, AGI",SaH
23,Explosivos,"Granada de Gás Lacrimogêneo","Uma granada que libera uma nuvem química que provoca ardência, irritação e sufocamento. Seres em um raio de 6m a partir do ponto de impacto sofrem 4d6 pontos de dano químico, ficam enjoados e têm dificuldade de respirar (OPRPG, p. 293). Após deixarem a área de efeito, continuam com dificuldade de respirar por 1d4 rodadas e ainda ficam enjoados até o fim da cena (Fortitude DT Agi reduz o dano à metade e evita a condição enjoado).",I,1,"Fortitude, AGI",AS
