Codigo_Item_Ama,Nome_Ama,Desc_Ama,Espacos_Ama,Categoria_Ama,DT_Ama,Elemento_Ama,Fonte_Ama,Vestimenta?,Bonus_Vestimenta
1,Coração Pulsante,"_Um coração humano banhado em sangue, pulsando como se ainda estivesse dentro de um corpo_. Se estiver empunhando o coração pulsante e sofrer dano, você pode gastar uma reação para espremer o item e reduzir esse dano pela metade. Sempre que usa o coração, você deve fazer um teste de Fortitude (DT 15 + 5 por uso adicional no mesmo dia). Se falhar, o item é destruído. Como o coração continua pulsando incessantemente com Sangue, qualquer compartimento em que estiver deve ser drenado uma vez por dia, caso contrário o Sangue poderá escorrer e danificar outros objetos com os quais entrar em contato.",1,II,"Fortitude, 15 (+5)",Sangue,OPRPG,,
2,"Coroa de Espinhos","_Uma coroa, colar ou pulseira feita de um material que lembra os espinhos de uma roseira banhados em sangue_. Uma vez por rodada, você pode usar uma reação para transformar qualquer dano mental que fosse sofrer em dano de Sangue, mas não consegue mais recuperar sanidade por descanso enquanto estiver vestindo o item. É preciso vestir o item por uma semana para ativar seus efeitos.",1,II,,Sangue,OPRPG,,
3,Frasco de Vitalidade,"_Este pequeno recipiente de vidro possui uma tampa de metal gravada com um selo de Sangue_. Você pode gastar 1 minuto e sofrer até 20 pontos de dano para encher o frasco com seu próprio sangue. Enquanto estiver no recipiente, seu sangue se mantém fresco. Você pode gastar uma ação padrão para beber o conteúdo do frasco e recuperar a mesma quantidade de PV que armazenou nele, mas deve passar em um teste de Fortitude (DT 20) para não ficar enjoado por uma rodada.",1,II,"Fortitude, 20",Sangue,OPRPG,,
4,Pérola de Sangue,"_Uma esfera de aproximadamente 2cm de diâmetro, lisa e reluzente como uma pérola, mas de cor vermelho-vivo_. Você pode gastar uma ação de movimento para forçar a pérola de sangue contra a sua pele e absorvê-la, recebendo uma injeção de adrenalina que fornece +5 em testes de Agilidade, Força e Vigor e testes baseados nesses atributos até o final da cena. Ao final da cena, você precisa fazer um teste de Fortitude (DT 20). Se falhar, fica fatigado até o final do dia. Se falhar por 5 ou mais, sofre uma parada cardíaca e fica morrendo. Se morrer dessa forma, você se torna uma criatura de sangue de VD similar ao seu NEX, à escolha do mestre.",1,II,"Fortitude, 20",Sangue,OPRPG,,
5,Seringa de Transfiguração,"_Esta seringa é feita de um material estranho e de aparência orgânica, cheio de veias pulsantes_. Você pode gastar uma ação padrão para sugar o sangue de um alvo adjacente e encher a seringa (se o alvo não for voluntário, você precisa acertá-lo com um ataque corpo a corpo). Se houver sangue na seringa, você pode gastar uma ação padrão para injetá-lo em qualquer outra pessoa adjacente, que terá sua aparência transfigurada para a do dono do sangue, como se estivesse sob efeito do ritual Distorcer Aparência, com duração aumentada para um dia. Quando o efeito acabar, o alvo deve rolar 1d6. Em um resultado 1, o processo de voltar à sua aparência é especialmente traumático, danificando seus músculos e órgãos e fazendo com que ele perca 1 PV permanentemente.",1,II,,Sangue,OPRPG,,
6,Amarras Mortais,"_Um par de correntes de ferro negro que se enrolam nos antebraços do usuário como um bracelete_. Uma vez por rodada, você pode gastar uma ação padrão e 2 PE para usar a manobra agarrar contra um alvo Grande ou menor em alcance curto, recebendo +10 em seu teste oposto. Você também pode usar uma ação de movimento para puxar um alvo agarrado para perto, deixando-o adjacente.",1,II,,Morte,OPRPG,,
7,Casaco de Lodo,"_Um sobretudo preto fosco que tem uma cor inexplicavelmente opaca, como se absorvesse a luz completamente_. Essa vestimenta é na verdade feita de Lodo ativo, protegendo o usuário contra ataques ao amortecer o impacto deles. O usuário recebe resistência a corte, impacto, Morte e perfuração 5, mas se torna vulnerável a dano balístico e de Energia.",1,II,,Morte,OPRPG,TRUE,"Resistência a Corte, Impacto, Morte e Perfuração 5

Vulnerável a dano Balístico e de Energia"
8,Coletora,"_Este punhal possui a lâmina completamente negra e a empunhadura em espiral_. Você pode gastar uma ação completa para apunhalar uma pessoa que esteja morrendo. Ao fazer isso, você mata o alvo morre e a Coletora absorve os resquícios do tempo de vida dela, armazenando 1d8 PE. O punhal pode armazenar um total de 20 PE, que você pode usar como se fossem seus desde que esteja portando a adaga a pelo menos uma semana. Enquanto portar a adaga, você é acometido por pesadelos sobre o sofrimento final de suas vítimas e sempre tem condições de descanso ruins, independentemente de onde ou como descansar.",1,II,,Morte,OPRPG,,
9,Crânio Espiral,"_Um crânio envelhecido, apodrecido e distorcido em um formato espiral. Lodo escorre de seus olhos vazios, como lágrimas negras_. Uma vez por rodada, se estiver empunhando o crânio, você pode gastar uma ação livre para ativá-lo. Quando faz isso, você recebe uma ação padrão adicional na rodada. Sempre que usa o crânio, você deve fazer um teste de Vontade (DT 15 + 5 por uso adicional no mesmo dia). Se falhar, você recebe os benef ícios do item, mas envelhece 1d4 anos e não pode mais usá-lo nesse dia.",1,II,"Vontade, 15 (+5)",Morte,OPRPG,,
10,Frasco de Lodo,"_Um pequeno frasco contendo lodo de Morte. Aplicar o conteúdo do frasco em um ferimento é uma ação padrão_. Se aplicado em um ferimento recente (sofrido até uma rodada atrás) o lodo recupera 6d8+20 pontos de vida. Caso a ferida seja anterior à rodada passada, role um dado: em um resultado par, o lodo recupera 3d8+10 PV; em um resultado ímpar, a ferida infecciona, causando 3d8+10 pontos de dano de Morte. O frasco possui lodo para uma única ativação.",1,II,,Morte,OPRPG,,
