Codigo_Ritual,Nome_Ritual,Descricao_Ritual,Elemento_Ritual,Circulo_Ritual,PE_Ritual,Execucao_Ritual,Alcance_Ritual,Area_Ritual,Alvo_Ritual,Duracao_Ritual,Efeito_Ritual,Resistencia_Ritual,Dados_Ritual,Tem Discente?,Tem Verdadeiro?,Imagem,Requisito_Discente,Requisito_Verdadeiro
1,Alterar Destino,"Você vislumbra seu futuro próximo, analisando milhões de possibilidades e escolhendo a melhor. Você recebe +15 em um teste de resistência ou na Defesa contra um ataque
*Verdadeiro (+5 PE):* muda o alcance para “curto” e o alvo para “um aliado à sua escolha”.",Energia,4,10/15,Reação,Pessoal/Curto,,Você/Um aliado à sua escolha,Instantânea,,,,FALSE,TRUE,,,
2,Alterar Memória,"Você invade a mente do alvo e altera ou apaga suas memórias de até uma hora atrás. Se escolher alterar as memórias, você pode mudar detalhes de eventos recentes, como a identidade de alguém encontrado ou o endereço de um lugar visitado, mas não reescrever completamente esses eventos. O alvo recupera suas memórias após 1d4 dias.
*Verdadeiro (+4 PE):* você pode alterar ou apagar memórias de até 24 horas atrás. Requer 4º círculo.",Conhecimento,3,6/10,Padrão,Toque,,1 pessoa,Instantânea,,Vontade anula,,FALSE,TRUE,,,4 Círculo
3,Amaldiçoar Arma,"Quando aprender este ritual, escolha um elemento entre Conhecimento, Energia, Morte e Sangue. Este ritual passa a ser do elemento escolhido. Você imbui a arma ou munições com o elemento, fazendo com que causem +1d6 de dano do tipo do elemento.
*Discente (+2 PE):* muda o bônus de dano para +2d6. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o bônus de dano para +4d6. Requer 3º círculo e afinidade",Lista,1,1/3/6,Padrão,Toque,,1 arma corpo a corpo ou pacote de munição,Cena,,,+1d6/+2d6/+4d6,TRUE,TRUE,,2 Círculo,"3 Círculo, Afinidade"
4,Amaldiçoar Tecnologia,"Você imbui o alvo com Energia, fazendo-o funcionar acima de sua capacidade. O item recebe uma modificação a sua escolha.
*Discente (+2 PE):* muda para duas modificações. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda para três modificações. Requer 3º círculo e afinidade",Energia,1,1/3/6,Padrão,Toque,,1 acessório ou arma de fogo,Cena,,,,TRUE,TRUE,,2 Círculo,"3 Círculo, Afinidade"
5,Âncora Temporal,"Uma aura espiralada surge sobre o alvo. No início de cada turno dele, ele deve fazer um teste de Vontade. Se falhar, não poderá se deslocar naquele turno (ele ainda pode agir, só não pode se deslocar). Se o alvo passar nesse teste dois turnos seguidos o efeito termina.
*Verdadeiro (+4 PE):* muda o alvo para “seres à sua escolha”. Requer 4º círculo.",Morte,3,6/10,Padrão,Curto,,1 ser/Seres à sua escolha,Cena,,Vontade parcial,,FALSE,TRUE,,,4 Círculo
6,Aprimorar Físico,"O alvo tem seus músculos tonificados e seus ligamentos reforçados, recebendo +1 em Agilidade ou Força, à escolha dele.
*Discente (+3 PE):* muda o bônus para +2. Requer 3º círculo.
*Verdadeiro (+7 PE):* muda o bônus para +3. Requer 4º círculo e afinidade.",Sangue,2,3/6/10,Padrão,Toque,,1 ser,Cena,,,,TRUE,TRUE,,3 Círculo,"4 Círculo, Afinidade"
7,Aprimorar Mente,"O alvo tem sua mente energizada por fagulhos do Conhecimento. Ele recebe +1 em Intelecto ou Presença, à escolha dele (esse aumento não fornece PE ou perícias treinadas).
*Discente (+3 PE):* muda o bônus para +2. Requer 3º círculo.
*Verdadeiro (+7 PE):* muda o bônus para +3. Requer 4º círculo e afinidade.",Conhecimento,2,3/6/10,Padrão,Toque,,1 ser,Cena,,,,TRUE,TRUE,,3 Círculo,"4 Círculo, Afinidade"
8,Arma Atroz,"A arma é recoberta por veias carmesim e passa a exalar uma aura de violência. Ela fornece +2 em testes de ataque e +1 na margem de ameaça.
*Discente (+2 PE):* muda o bônus para +5 em testes de ataque. Requer 2º círculo.
*Verdadeiro (+5 PE):* muda o bônus para +5 em testes de ataque e +2 na margem de ameaça e no multiplicador de crítico. Requer 3º círculo e afinidade.",Sangue,1,1/3/6,Padrão,Toque,,1 arma corpo a corpo,Sustentada,,,,TRUE,TRUE,,2 Círculo,"3 Círculo, Afinidade"
9,Armadura de Sangue,"Seu sangue escorre para fora do corpo, cobrindo-o sob a forma de uma carapaça que fornece +5 em Defesa. Esse bônus é cumulativo com outros rituais, mas não com bônus fornecido por equipamento.
*Discente (+5 PE):* muda o efeito para “fornece +10 na Defesa e resistência a balístico, corte, impacto e perfuração 5”. Requer 3º círculo.
*Verdadeiro (+9 PE):* muda o efeito para “fornece +15 na Defesa e resistência a balístico, corte, impacto e perfuração 10”. Requer 4º círculo e afinidade",Sangue,1,1/6/10,Padrão,Pessoal,,Você,Cena,,,,TRUE,TRUE,,3 Círculo,"4 Círculo, Afinidade"
10,Canalizar o Medo,"Você transfere parte de seu poder para outra pessoa. Escolha um ritual de até 3º círculo que você conheça; o alvo pode conjurar este ritual em sua forma básica uma vez, sem pagar seu custo em PE (mas pode usar formas avançadas gastando seus próprios PE para isso). Até o ritual transferido ser conjurado, seus PE máximos diminuem em um valor igual ao custo dele.",Medo,4,10,Padrão,Toque,,1 pessoa,Permanente até ser descarregada,,,,FALSE,FALSE,,,
