Codigo_Arma,Nome_Item,Descricao_Item,Proficiencia,Tipo_Arma,Empunhadura_Arma,Dano_Arma,Critico_Arma,Multiplicador_Arma,Tipo_Dano_Arma,Alcance_Item,Categoria_Item,Espaços_Item,Agil?,Capacidade_Municao,dt_item,Automatica?,Fonte_Arma
1,Coronhada,Você pode usar uma arma de fogo como uma arma corpo a corpo. O dano é 1d4 de impacto para armas de fogo leves e de uma mão (como pistolas) e 1d6 para armas de fogo de duas mãos (como fuzis).,Armas Simples,Corpo a Corpo,Leve,1d4/1d6,20,2,Impacto,,,,,,,,OPRPG
2,Faca,"Uma lâmina longa e afiada, como uma navalha, uma faca de churrasco ou uma faca militar (facas de cozinha pequenas causam apenas 1d3 pontos de dano). É uma arma ágil e pode ser arremessada.",Armas Simples,Corpo a Corpo,Leve,1d4,19,2,Corte,Curto,0,1,TRUE,,,,OPRPG
3,Martelo,Esta ferramenta comum pode ser usada como arma na falta de opções melhores.,Armas Simples,Corpo a Corpo,Leve,1d6,20,2,Impacto,,0,1,,,,,OPRPG
4,Punhal,"Uma faca de lâmina longa e pontiaguda, usada por cultistas em seus rituais. É uma arma ágil.",Armas Simples,Corpo a Corpo,Leve,1d4,20,3,Perfuração,,0,1,TRUE,,,,OPRPG
5,Bastão,"Um cilindro de madeira maciça. Pode ser um taco de beisebol, um cacetete da polícia, uma tonfa ou apenas uma clava envolta em pregos ou arame farpado. Você pode empunhar um bastão com uma mão (dano 1d6) ou com as duas (dano 1d8).",Armas Simples,Corpo a Corpo,Uma Mão/Duas Mãos,1d6/1d8,20,2,Impacto,,0,1,,,,,OPRPG
6,Manchete,"Uma lâmina longa, muito usada como ferramenta para abrir trilhas.",Armas Simples,Corpo a Corpo,Uma Mão,1d6,19,2,Corte,,0,1,,,,,OPRPG
7,Lança,"Uma haste de madeira com uma ponta metálica afiada, a lança é uma arma arcaica, mas usada ainda hoje por artistas marciais. Pode ser arremessada.",Armas Simples,Corpo a Corpo,Uma Mão,1d6,20,2,Perfuração,Curto,0,1,,,,,OPRPG
8,Cajado,"Um cabo de madeira ou barra de ferro longo. Inclui cajado o bo usado em artes marciais. É uma arma ágil. Além disso, pode ser usado com Combater com Duas Armas (e poderes similares) para fazer ataques adicionais, como se fosse uma arma de uma mão e uma arma leve",Armas Simples,Corpo a Corpo,Duas Mãos,1d6/1d6,20,2,Impacto,,0,2,TRUE,,,,OPRPG
9,Arco,"Um arco e flecha comum, próprio para tiro ao alvo.",Armas Simples,Arma de Disparo,Duas Mãos,2d6,20,3,Impacto,Médio,0,2,,,,,OPRPG
11,Besta,Esta arma da antiguidade exige uma ação de movimento para ser recarregada a cada disparo.,Armas Simples,Arma de Disparo,Duas Mãos,1d8,19,2,Perfuração,Médio,0,2,,,,,OPRPG
