Codigo_Modif,Categoria_Modif,Nome_Modif,Descricao_Modif,Multiplica?,Efeito
1,Arma de Fogo,Alongada,"Com um cano mais longo, que aumenta a precisão dos disparos, a arma fornece +2 nos testes de ataque.",,+2 em testes de ataque
2,Arma de Fogo,Calibre Grosso,"A arma é modificada para disparar munição de maior calibre, aumentando seu dano em mais um dado do mesmo tipo. Por exemplo, um revolver de calibre grosso causa 3d6 pontos de dano, enquanto um fuzil de precisão causa 3d10. Armas com esta modificação precisam usar munição específica de calibre grosso. Munição de calibre grosso possui o mesmo custo em categoria de munição normal, mas não pode ser usada em armas normais.",TRUE,Aumenta o dano em mais um dado do mesmo tipo.
3,Corpo a Corpo / Disparo,Certeira,"Fabricada para ser mais precisa e balanceada, a arma fornece +2 nos testes de ataque.",,+2 em testes de ataque.
4,Arma de Fogo,Compensador,"Apenas para armas automáticas. Um sistema de amortecimento reduz o coice da arma, anulando a penalidade em testes de ataque por disparar rajadas.",,Anula penalidade por rajadas.
5,Corpo a Corpo / Disparo,Cruel,A arma possui lâmina especialmente afiada ou foi fabricada com materiais mais densos. Fornece um bônus de +2 nas rolagens de dano.,,+2 em rolagens de dano.
6,Armas,Discreta,"A arma possui modificações para ocupar menos espaço e chamar menos atenção. Se for uma arma de fogo, pode ser desmontável, se for um bastão pode ser retrátil, se for uma espada, pode ter a lâmina dobrável e assim por diante. Reduz o número de espaços ocupados em 1, fornece +5 em testes de Crime para ser ocultada e permite que você faça esse teste mesmo que não seja treinado na perícia. ",,+5 em testes de ocultar e reduz o espaço em -1.
7,Munição,Dum Dum,"Estas balas são feitas para se expandir durante o impacto, produzindo ferimentos terríveis. Esta modificação só pode ser aplicada em balas curtas e longas e aumenta o multiplicador de crítico em +1.",,+1 em multiplicador de crítico
8,Munição,Explosiva,"Estas munições possuem uma gota de mercúrio ou glicerina, que fazem a bala explodir ao atingir o alvo. Esta modificação só pode ser aplicada em balas curtas e longas e aumenta o dano causado em +2d6.",,Aumenta o dano em +2d6.
9,Arma de Fogo,Ferrolho Automático,"O mecanismo de ação da arma é modificado para disparar várias vezes em sequência. A arma se torna automática (veja OPRPG, pág. 59).",,A arma se torna automática.
10,Arma de Fogo,Mira Laser,"Um laser interno cria um reflexo vermelho num retículo luminoso, que é visto pelo atirador e ajuda-o a realizar disparos mais letais. Aumenta a margem de ameaça em +2.",,+2 em margem de ameaça
11,Arma de Fogo,Mira Telescópica,"A arma possui uma luneta com marcações de medidas, ideal para disparos precisos delonga distância. Aumenta o alcance da arma em uma categoria (de curto para médio, de médio para longo, de longo para extremo) e permite que a habilidade Ataque Furtivo seja usada em qualquer alcance.",,Aumenta alcance da arma e da habilidade Ataque Furtivo.
12,Corpo a Corpo / Disparo,Perigosa,"A arma possui lâmina afiada como uma navalha ou foi fabricada com materiais maciços. Seja como for, seus golpes possuem impacto terrível. Aumenta a margem de ameaça em +2.",,+2 em margem de ameaça.
13,Arma de Fogo,Silenciador,Um silenciador reduz em –10 a penalidade em Furtividade para se esconder no mesmo turno em que atacou com a arma de fogo.,,Reduz em -10 a penalidade em Furtividade para se esconder após atacar.
14,Armas,Tática,"A arma possui cabo texturizado, bandoleira e outros acessórios que facilitam seu manuseio. Você pode sacar a arma como uma ação livre.",,Pode sacar como ação livre.
15,Arma de Fogo,Visão de Calor,"A mira tem um sistema eletrônico que sobrepõe imagens visíveis e imagens em infravermelho, criando um contraste entre zonas frias e quentes. Ao disparar com a arma, você ignora qualquer camuflagem do alvo.",,Ignora camuflagem.
16,Proteções Pesadas,Antibombas,Quimicamente tratada para resistir ao calor e revestida de preenchimentos para amortecer estilhaços. Acompanha um capacete com viseira para proteger da luz e barulho de explosões. Fornece +5 em testes de resistência contra efeitos de área. Só pode ser aplicada em proteções pesadas.,,+5 em testes de resistência contra efeitos de área.
17,Proteções Pesadas,Blindada,Reforçada com placas de aço e cerâmica costuradas dentro das camadas de kevlar. Aumenta a resistência a dano para 5 e o espaço ocupado em +1. Só pode ser aplicada em proteções pesadas,,Aumenta RD para 5 e o espaço em +1.
18,Proteções Leves,Discreta,"Colete compacto feito com kevlar denso para reduzir o volume. Reduz o número de espaços ocupados em 1, fornece +5 em testes de Crime para ser ocultada e permite que você faça esse teste mesmo que não seja treinado na perícia. Só pode ser aplicada em proteções leves.",,"+5 em testes de ocultar e
reduz o espaço em -1."
19,Proteções,Reforçada,Aumenta a Defesa fornecida em +2 e o espaço ocupado em +1. Uma proteção não pode ser reforçada e discreta ao mesmo tempo.,,Aumenta a Defesa em +2 e o espaço em +1.
20,Armas de Fogo / Bestas e Balestras,Carregador Rápido,"Modificação para armas de fogo, bestas e balestras. Em uma arma de fogo, permite recarregá-la como uma ação ivre uma vez por rodada. Para bestas ou balestras, permite até cinco recargas como ação livre exigindo apenas uma mão. Após isso, é necessário recarregar o carregador um virote de cada vez (uma ação de movimento por virote).",,
21,Acessórios,Aprimorado,"O bônus em perícia concedido pelo acessório aumenta para +5. Se o item tiver função adicional, esta modificação poderá ser escolhida uma segunda vez para esta função.",,Aumenta um dos bônus em perícia para +5.
22,Acessórios,Discreto,"O item é miniaturizado ou disfarçado como outro item inócuo (como um relógio). Reduz o número de espaços ocupados em 1, fornece +5 em testes de Crime para ser ocultado e permite que você faça esse teste mesmo que não seja treinado na perícia.",,"+5 em testes de ocultar
e reduz o espaço em –1."
23,Acessórios,Função Adicional,"O acessório fornece +2 em uma perícia adicional à sua escolha, sujeita à aprovação do mestre.",,Concede +2 a uma perícia adicional.
24,Acessórios,Instrumental,O acessório pode ser usado como um kit de perícia específico (escolhido ao aplicar esta modificação).,,O acessório funciona como um kit de perícia
25,Acessórios,Bateria Potente,"Essa modificação para objetos elétricos aumenta sua eficiência e duração. Se usada em lanternas, celulares e notebooks, dobra a duração da bateria e o alcance da luz projetada. Se usada em um taser, dobra seus usos, aumenta o dano para 1d8 e a DT para resistir a ele em +5. Pode afetar outros objetos, conforme proposta dos jogadores, a critério do mestre.",,
26,Granadas,Adesiva,"A granada gruda no alvo. Se o alvo for um ser, você precisa fazer um teste de ataque à distância contra a Defesa dele. Se errar, a granada gruda no espaço onde o ser está. Se acertar, ela gruda no ser (ele falha automaticamente em qualquer teste de resistência contra a granada). Caso o seu efeito não seja instantâneo, a granada se move junto com o alvo até que ele gaste uma ação padrão para removê-la do seu corpo.",,
27,Granadas,Dupla,"A granada tem um efeito adicional. Ao aplicar essa modificação, você escolhe um efeito de outra granada (exceto itens amaldiçoados) que se ativará junto com o efeito principal. O efeito adicional deve ser diferente do efeito principal.",,
28,Granadas,Programada,"A granada tem um temporizador programado. Após arremessá-la, ou posicioná-la onde desejar e definir em quantos turnos ela explodirá.",,
29,Medicamentos,Emulsificante Químico,"Um emulsificante é uma substância que permite a mistura estável entre ingredientes que naturalmente não se misturam. O medicamento tem um efeito adicional. Ao aplicar essa modificação, você escolhe um efeito de outro medicamento de categoria igual ou menor que a deste medicamento (exceto itens amaldiçoados) que se ativará junto com o efeito principal. O efeito adicional deve ser diferente do efeito principal.",,
