Codigo_Municao,Nome_Item,Descricao_Item,Tipo_Arma,Categoria_Item,Espaços_Item
10,Flechas,"Usadas em arcos e bestas, flechas podem ser reaproveitadas após cada combate. Por isso, um pacote de flechas dura uma missão inteira.",Arco / Besta,0,1
13,Balas curtas,"Munição básica, usada em pistolas, revólveres e submetralhadoras. Um pacote de balas curtas dura duas cenas.",Pistóla / Revólver / Submetralhadora,0,1
16,Balas longas,"Maior e mais potente, esta munição é usada em fuzis e metralhadoras. Um pacote de balas longas dura uma cena.",Fuzil / Metralhadora,I,1
34,Cartuchos,"Usados em espingardas, esses cartuchos são carregados com esferas de chumbo. Um pacote de cartuchos dura uma cena.",Espingarda,I,1
38,Foguete,"Disparado por bazucas. Ao contrário de outras munições, cada foguete dura um único disparo, não uma cena. Para fazer vários ataques, você precisará carregar vários foguetes.",Bazuca,I,1
40,Combustível,Um tanque de combustível para lança-chamas. Dura uma cena.,Lança-Chamas,I,1
63,Flechas Ponta Cega,Um tipo de ponta de flecha chata e pesada. Estas flechas mudam o tipo de dano da arma para Impacto e podem ser disparadas de forma a causar dano não-letal. Este é um item categoria 0 que dura duas cenas.,Arco / Besta,0,1
64,Flecha Ponta de Pesca,"A ponta destas flechas possui duas hastes que servem para as prender no alvo, normalmente um peixe, e puxá-lo com uma corda. Antes de usar esta flecha, você precisa usar uma ação padrão para amarrá-la com uma corda. Se acertar um ataque com esta flecha, ela se prende ao alvo. Você pode puxar seres pela corda fazendo uma ação de manobra, se falhar, a flecha se quebra. Este é um item categoria 1, peso 0.5 e único.",Arco / Besta,I,0.5
65,Flechas Ponta Broadhead,"Pontas pesadas e contendo duas ou quatro lâminas laterais removíveis que causam sangramento interno no alvo. Ao acertar um ataque com esta flecha, o alvo fica Sangrando pelo resto da cena. Este é um item categoria 1 que inclui 3 flechas, cada uma com peso 0.5. Após disparar uma delas e acertar o ataque, as lâminas são perdidas e ela se torna uma flecha comum.",Arco / Besta,I,0.5
66,Flechas Ponta Bodkin,"Pontas finas e afiadas, criadas para penetrar armadura. Estas flechas ignoram 5 pontos de resistência a dano ao acertar um ataque. Além disso, acertar 3 flechas desse tipo no mesmo inimigo reduz sua defesa em 2. Este é um item categoria 1 que contém 3 flechas que podem ser recuperadas ao fim de um combate.",Arco / Besta,I,1
67,Flecha Explosiva,"A ponta desta flecha é grossa e arredondada, criada para explodir em impacto. Escolha um explosivo arremessável. Ao fazer um ataque com esta flecha, o explosivo será ativado quando a flecha fizer um impacto, além de causar o dano normal em qualquer ser, destruindo-a. A categoria deste item é 1+ a categoria do explosivo escolhido e é um item único.",Arco / Besta,I,1
